comment_id,multi_label_count,example_very_unclear,unclear_fraction
eczgu3o,2,False,0.0
eczgv1o,1,False,0.0
eczgvrc,3,False,0.0
eczgvx1,2,False,0.0
eczgvxw,4,False,0.0
eczgx3b,1,False,0.0
eczgxa1,4,False,0.0
eczgz0k,1,False,0.0
eczh1pf,2,False,0.0
eczh2yd,5,False,0.0
eczh3g4,6,False,0.0
eczh6mi,0,False,0.0
eczh7ro,5,False,0.0
eczh865,5,False,0.0
eczh8ym,0,False,0.0
eczh9nf,2,False,0.0
eczhd7q,2,False,0.0
eczhdsl,1,False,0.0
eczhfhm,3,False,0.0
eczhjuj,3,False,0.0
eczhm1p,1,False,0.0
eczhnl9,0,False,0.0
eczhruc,1,False,0.0
eczhsvj,4,False,0.0
eczhvrq,3,False,0.0
eczhw6d,2,False,0.0
eczhw92,1,False,0.0
eczhxe7,2,False,0.0
eczhy8h,6,False,0.0
eczhz57,0,False,0.0
eczi3zs,3,False,0.0
eczi4kj,4,False,0.0
eczi9ku,4,False,0.0
eczi9m5,2,False,0.0
eczi9zh,3,False,0.0
eczic0y,1,False,0.0
eczidag,1,False,0.0
eczidfz,2,False,0.0
eczif4h,1,False,0.0
eczifan,2,False,0.0
eczincj,0,False,0.0
eczis4p,1,False,0.0
ecziu49,2,False,0.0
ecziu7i,4,False,0.0
ecziw2n,1,False,0.0
ecziwm2,2,False,0.0
ecziwwe,3,False,0.0
ecziwxz,5,False,0.0
ecziz4m,2,False,0.0
eczj0e1,1,False,0.0
eczj0in,4,False,0.0
eczj0wm,3,False,0.0
eczj0xr,5,False,0.0
eczj3ra,4,False,0.0
eczj48j,2,False,0.0
eczj59w,1,False,0.0
eczj6af,0,False,0.0
eczj7hv,2,False,0.0
eczj7xk,2,False,0.0
eczjalj,3,False,0.0
eczjbdy,1,False,0.0
eczjc72,2,False,0.0
eczjco9,1,False,0.0
eczje98,3,False,0.0
eczjfeu,1,False,0.0
eczjfy0,2,False,0.0
eczji6u,1,False,0.0
eczjkgr,2,False,0.0
eczjkig,3,False,0.0
eczjleg,1,False,0.0
eczjljm,2,False,0.0
eczjm3r,2,False,0.0
eczjqcs,1,False,0.0
eczjsko,4,False,0.0
eczjszs,4,False,0.0
eczjwx9,3,False,0.0
eczjwzw,1,False,0.0
eczjz86,1,False,0.0
eczk51t,1,False,0.0
eczk6qs,3,False,0.0
eczk795,1,False,0.0
eczkbpd,3,False,0.0
eczkeuw,4,False,0.0
eczkf6o,1,False,0.0
eczkg1x,5,False,0.0
eczkjma,2,False,0.0
eczkjtx,1,False,0.0
eczkjwy,1,False,0.0
eczkpo7,2,False,0.0
eczkq1i,4,False,0.0
eczkrbe,5,False,0.0
eczkrm7,2,False,0.0
eczkrv6,3,False,0.0
eczkted,0,False,0.0
eczku6u,3,False,0.0
eczkvpy,3,False,0.0
eczkvwy,3,False,0.0
eczkx19,4,False,0.0
eczkx6m,1,False,0.0
eczkygh,2,False,0.0
eczl2pq,1,False,0.0
eczl36z,4,False,0.0
eczl3ai,1,False,0.0
eczl4db,4,False,0.0
eczl7i9,6,False,0.0
eczlatx,1,False,0.0
eczlb8r,2,False,0.0
eczlc6s,3,False,0.0
eczldwo,1,False,0.0
eczlfft,1,False,0.0
eczlg58,2,False,0.0
eczlhjo,5,False,0.0
eczli1f,2,False,0.0
eczlibq,4,False,0.0
eczlj0o,2,False,0.0
eczlkfb,2,False,0.0
eczll29,4,False,0.0
eczll42,1,False,0.0
eczlnf9,3,False,0.0
eczlobj,1,False,0.0
eczlqn3,4,False,0.0
eczltw0,1,False,0.0
eczlw97,4,False,0.0
eczlz64,0,False,0.0
eczm1a6,3,False,0.0
eczm35a,3,False,0.0
eczm4tg,6,False,0.0
eczm50f,2,False,0.0
eczm86v,2,False,0.0
eczmavf,2,False,0.0
eczmb8c,5,False,0.0
eczmdj4,4,False,0.0
eczmf05,3,False,0.0
eczmgt2,4,False,0.0
eczmiu4,1,False,0.0
eczmlkj,2,False,0.0
eczmog0,3,False,0.0
eczmpez,1,False,0.0
eczmpsx,2,False,0.0
eczmsxa,1,False,0.0
eczmsz3,3,False,0.0
eczmtlc,4,False,0.0
eczmwe8,4,False,0.0
eczmydo,4,False,0.0
eczmz2i,4,False,0.0
eczmzx2,2,False,0.0
eczmzzn,1,False,0.0
eczn093,3,False,0.0
eczn31x,3,False,0.0
eczn3lg,2,False,0.0
eczn4ec,1,False,0.0
eczna0k,0,False,0.0
ecznb2a,2,False,0.0
eczncbs,1,False,0.0
eczndhi,4,False,0.0
eczne6j,3,False,0.0
eczne96,1,False,0.0
ecznehk,5,False,0.0
eczngf1,2,False,0.0
eczngn2,2,False,0.0
ecznhuy,3,False,0.0
eczni83,3,False,0.0
ecznju7,1,False,0.0
ecznjvz,2,False,0.0
ecznkkq,1,False,0.0
ecznnld,3,False,0.0
ecznohs,1,False,0.0
ecznom8,3,False,0.0
ecznotn,0,False,0.0
ecznpdw,4,False,0.0
ecznq02,2,False,0.0
ecznsuj,1,False,0.0
ecznwuv,1,False,0.0
eczny3p,2,False,0.0
eczo13g,2,False,0.0
eczo29j,4,False,0.0
eczo42b,1,False,0.0
eczo8u6,1,False,0.0
eczoby5,1,False,0.0
eczocm3,3,False,0.0
eczocof,2,False,0.0
eczoecw,3,False,0.0
eczoevf,3,False,0.0
eczoh1h,1,False,0.0
eczoo37,2,False,0.0
eczopr8,0,False,0.0
eczopuk,7,False,0.0
eczoqfx,1,False,0.0
eczorzh,3,False,0.0
eczot1n,2,False,0.0
eczowjx,4,False,0.0
eczoy48,4,False,0.0
eczp256,1,False,0.0
eczp28s,1,False,0.0
eczp2oc,3,False,0.0
eczp2sz,1,False,0.0
eczp7d3,4,False,0.0
eczpa27,1,False,0.0
eczpeok,1,False,0.0
eczpfqw,1,False,0.0
eczpg76,1,False,0.0
eczpk9e,1,False,0.0
eczpqft,2,False,0.0
eczpr3k,2,False,0.0
eczprz3,3,False,0.0
eczpt9l,0,False,0.0
eczptkv,1,False,0.0
eczpwbu,2,False,0.0
eczpwqw,3,False,0.0
eczpx5n,1,False,0.0
eczq1hv,5,False,0.0
eczq52g,1,False,0.0
eczq5fp,1,False,0.0
eczq8zg,3,False,0.0
eczqewq,3,False,0.0
eczqgmp,3,False,0.0
eczqguq,2,False,0.0
eczqh7j,2,False,0.0
eczqke5,4,False,0.0
eczqmch,3,False,0.0
eczqn1r,1,False,0.0
eczqn7t,1,False,0.0
eczqqm9,2,False,0.0
eczqtaw,1,False,0.0
eczqurv,3,False,0.0
eczquze,1,False,0.0
eczqw5w,2,False,0.0
eczqy39,3,False,0.0
eczqy8m,1,False,0.0
eczr3pv,1,False,0.0
eczret0,1,False,0.0
eczrf4p,2,False,0.0
eczrfbq,4,False,0.0
eczrfx4,1,False,0.0
eczrjo0,1,False,0.0
eczrkuj,4,False,0.0
eczrm71,4,False,0.0
eczrn7t,3,False,0.0
eczrnjl,2,False,0.0
eczrple,1,False,0.0
eczrr0o,1,False,0.0
eczrrn3,1,False,0.0
eczrrvt,4,False,0.0
eczruja,1,False,0.0
eczrw44,4,False,0.0
eczrwlk,4,False,0.0
eczryjj,3,False,0.0
eczryyw,2,False,0.0
eczrzch,1,False,0.0
eczs131,2,False,0.0
eczs4ty,5,False,0.0
eczs5qj,1,False,0.0
eczs7zu,2,False,0.0
eczs8ld,3,False,0.0
eczs8t5,1,False,0.0
eczsaya,5,False,0.0
eczsb4v,4,False,0.0
eczsbhe,2,False,0.0
eczsc5k,3,False,0.0
eczscmq,2,False,0.0
eczscqr,1,False,0.0
eczsex7,4,False,0.0
eczsg35,2,False,0.0
eczsgpq,3,False,0.0
eczsj5o,0,False,0.0
eczskxk,4,False,0.0
eczsm3r,1,False,0.0
eczsm77,3,False,0.0
eczsn48,4,False,0.0
eczsn7h,4,False,0.0
eczsnv3,4,False,0.0
eczsu1o,1,False,0.0
eczsxxo,8,False,0.0
eczsxxy,1,False,0.0
eczsys7,2,False,0.0
eczszmw,3,False,0.0
eczszn6,2,False,0.0
eczt097,4,False,0.0
eczt1qw,3,False,0.0
eczt3y5,4,False,0.0
eczt3ye,1,False,0.0
eczt6nu,3,False,0.0
eczt8co,6,False,0.0
eczt8lm,4,False,0.0
eczt9t1,4,False,0.0
eczta2u,2,False,0.0
eczta6r,3,False,0.0
ecztba2,2,False,0.0
ecztcu6,2,False,0.0
ecztczf,2,False,0.0
ecztf18,3,False,0.0
eczth69,4,False,0.0
ecztlfh,1,False,0.0
ecztmlp,1,False,0.0
ecztnho,2,False,0.0
ecztsvi,4,False,0.0
eczttpz,2,False,0.0
ecztu1z,2,False,0.0
ecztu5v,1,False,0.0
ecztue6,2,False,0.0
ecztuhs,0,False,0.0
eczturw,0,False,0.0
ecztv54,1,False,0.0
ecztw5u,4,False,0.0
eczu1gw,3,False,0.0
eczu1m6,2,False,0.0
eczu82a,5,False,0.0
eczu8w5,2,False,0.0
eczub6k,1,False,0.0
eczubt5,0,False,0.0
eczuekb,4,False,0.0
eczueoz,1,False,0.0
eczukzw,1,False,0.0
eczunfz,3,False,0.0
eczunpk,2,False,0.0
eczunsd,3,False,0.0
eczupcx,4,False,0.0
eczurtb,2,False,0.0
eczusbt,2,False,0.0
eczusn7,1,False,0.0
eczuvim,1,False,0.0
eczuxws,5,False,0.0
eczv2wl,2,False,0.0
eczvdjk,3,False,0.0
eczvg8i,2,False,0.0
eczvhp6,4,False,0.0
eczvkco,3,False,0.0
eczvoxz,4,False,0.0
eczvpo3,1,False,0.0
eczvruc,1,False,0.0
eczvsr7,1,False,0.0
eczvupb,1,False,0.0
eczvy95,2,False,0.0
eczvyjk,1,False,0.0
eczw4tj,2,False,0.0
eczw5ul,2,False,0.0
eczw7wb,3,False,0.0
eczw8n4,1,False,0.0
eczwaho,2,False,0.0
eczwd4q,1,False,0.0
eczwdm1,1,False,0.0
eczweq4,2,False,0.0
eczwfjj,3,False,0.0
eczwfv0,5,False,0.0
eczwg8f,2,False,0.0
eczwh2t,1,False,0.0
eczwil0,1,False,0.0
eczwkcf,1,False,0.0
eczwlf5,3,False,0.0
eczwm5z,2,False,0.0
eczwosz,2,False,0.0
eczwq50,3,False,0.0
eczwqu4,1,False,0.0
eczwstk,1,False,0.0
eczwv6r,3,False,0.0
eczwwdy,7,False,0.0
eczwx7v,0,False,0.0
eczwzqx,4,False,0.0
eczx19r,4,False,0.0
eczx1yf,2,False,0.0
eczx20j,2,False,0.0
eczx3gr,3,False,0.0
eczx3ze,6,False,0.0
eczx48m,4,False,0.0
eczx4ck,3,False,0.0
eczx51l,1,False,0.0
eczx6ys,1,False,0.0
eczx96b,4,False,0.0
eczxapo,1,False,0.0
eczxbij,1,False,0.0
eczxcyw,1,False,0.0
eczxdnq,0,False,0.0
eczxdth,1,False,0.0
eczxgji,6,False,0.0
eczxhsk,0,False,0.0
eczxl5s,5,False,0.0
eczxo6i,6,False,0.0
eczxpjy,2,False,0.0
eczxpq3,0,False,0.0
eczxq2m,1,False,0.0
eczxsz0,1,False,0.0
eczxy40,1,False,0.0
eczxyij,1,False,0.0
eczy0ru,2,False,0.0
eczy1nf,1,False,0.0
eczy4rk,0,False,0.0
eczy5aq,3,False,0.0
eczy616,3,False,0.0
eczy6qb,3,False,0.0
eczy99y,7,False,0.0
eczy9s2,6,False,0.0
eczyecf,3,False,0.0
eczyetc,2,False,0.0
eczyh8p,3,False,0.0
eczyj0h,5,False,0.0
eczyli4,5,False,0.0
eczyn8v,2,False,0.0
eczyqul,2,False,0.0
eczyr6d,2,False,0.0
eczysp8,3,False,0.0
eczyug4,2,False,0.0
eczywt8,1,False,0.0
eczyxxv,1,False,0.0
eczz2y3,0,False,0.0
eczz3bv,2,False,0.0
eczz4r8,1,False,0.0
eczz64j,4,False,0.0
eczz8lp,5,False,0.0
eczz8ys,1,False,0.0
eczz9lx,3,False,0.0
eczz9ys,3,False,0.0
eczzbru,4,False,0.0
eczzc3j,1,False,0.0
eczzce6,6,False,0.0
eczzkhk,2,False,0.0
eczzkwf,2,False,0.0
eczzlwa,5,False,0.0
eczzo59,3,False,0.0
eczzqmj,3,False,0.0
eczzquh,1,False,0.0
eczzrwi,2,False,0.0
eczzs7i,3,False,0.0
eczzt0p,2,False,0.0
eczzvdt,2,False,0.0
eczzw82,2,False,0.0
eczzx4x,3,False,0.0
ed00002,5,False,0.0
ed00251,1,False,0.0
ed0026y,1,False,0.0
ed003qq,3,False,0.0
ed0049n,2,False,0.0
ed0052l,2,False,0.0
ed00799,1,False,0.0
ed007mk,1,False,0.0
ed0097g,3,False,0.0
ed00a87,1,False,0.0
ed00e3l,4,False,0.0
ed00f1z,2,False,0.0
ed00j1u,1,False,0.0
ed00jnw,0,False,0.0
ed00n9a,1,False,0.0
ed00o9u,3,False,0.0
ed00pmi,3,False,0.0
ed00q6i,0,False,0.0
ed00rit,4,False,0.0
ed00rne,3,False,0.0
ed00rv5,2,False,0.0
ed00ry1,0,False,0.0
ed010oy,1,False,0.0
ed011g9,1,False,0.0
ed011w9,2,False,0.0
ed0148u,1,False,0.0
ed016ly,6,False,0.0
ed016nu,0,False,0.0
ed01btv,5,False,0.0
ed01cgx,6,False,0.0
ed01hr6,0,False,0.0
ed01nso,3,False,0.0
ed01obo,4,False,0.0
ed01r4q,2,False,0.0
ed01rse,3,False,0.0
ed01s0u,3,False,0.0
ed01t3o,1,False,0.0
ed01usz,1,False,0.0
ed01w5c,1,False,0.0
ed01yr6,2,False,0.0
ed01zcq,3,False,0.0
ed021z8,1,False,0.0
ed022d4,1,False,0.0
ed0249h,3,False,0.0
ed025ra,5,False,0.0
ed026un,1,False,0.0
ed0286s,2,False,0.0
ed028tw,3,False,0.0
ed02blt,0,False,0.0
ed02btp,1,False,0.0
ed02cdk,0,False,0.0
ed02d1x,2,False,0.0
ed02ffd,2,False,0.0
ed02ib9,2,False,0.0
ed02jg5,2,False,0.0
ed02kga,6,False,0.0
ed02knk,4,False,0.0
ed02l8f,4,False,0.0
ed02myp,1,False,0.0
ed02nla,4,False,0.0
ed02ofo,4,False,0.0
ed02opi,1,False,0.0
ed02w7h,3,False,0.0
ed02x3e,3,False,0.0
ed02xgs,4,False,0.0
ed02z13,4,False,0.0
ed031mb,3,False,0.0
ed032ga,2,False,0.0
ed03375,3,False,0.0
ed035o9,2,False,0.0
ed036ia,1,False,0.0
ed037ou,2,False,0.0
ed038bu,3,False,0.0
ed03axq,1,False,0.0
ed03b4e,1,False,0.0
ed03cza,2,False,0.0
ed03d9y,4,False,0.0
ed03ln4,4,False,0.0
ed03oz9,1,False,0.0
ed03p8d,3,False,0.0
ed03r7n,2,False,0.0
ed03vhu,2,False,0.0
ed03xwy,1,False,0.0
ed0450z,4,False,0.0
ed04646,1,False,0.0
ed047z8,3,False,0.0
ed04ap3,3,False,0.0
ed04fvm,6,False,0.0
ed04kpj,3,False,0.0
ed04kyp,1,False,0.0
ed04lxj,1,False,0.0
ed04mvt,3,False,0.0
ed04n3g,1,False,0.0
ed04rm7,3,False,0.0
ed04vcn,3,False,0.0
ed04xt0,5,False,0.0
ed04zgt,5,False,0.0
ed0500z,3,False,0.0
ed050ju,1,False,0.0
ed052gn,2,False,0.0
ed054lq,1,False,0.0
ed056y7,3,False,0.0
ed05a6u,4,False,0.0
ed05aak,1,False,0.0
ed05dnv,5,False,0.0
ed05eho,1,False,0.0
ed05f2h,3,False,0.0
ed05fwr,2,False,0.0
ed05i1t,1,False,0.0
ed05jes,4,False,0.0
ed05nxx,3,False,0.0
ed05nzi,4,False,0.0
ed05ple,2,False,0.0
ed05sji,1,False,0.0
ed05w47,3,False,0.0
ed05x1k,5,False,0.0
ed05yak,1,False,0.0
ed05yoe,0,False,0.0
ed060n3,1,False,0.0
ed061gc,4,False,0.0
ed0620k,3,False,0.0
ed06ebu,5,False,0.0
ed06h62,4,False,0.0
ed06i70,4,False,0.0
ed06iu3,2,False,0.0
ed06k5j,2,False,0.0
ed06ocl,1,False,0.0
ed06oez,1,False,0.0
ed06qes,1,False,0.0
ed070rj,3,False,0.0
ed071px,2,False,0.0
ed075k7,5,False,0.0
ed077un,2,False,0.0
ed07efh,1,False,0.0
ed07eph,2,False,0.0
ed07lxm,5,False,0.0
ed07pl6,2,False,0.0
ed07q86,3,False,0.0
ed07x4i,2,False,0.0
ed0820j,6,False,0.0
ed087y4,4,False,0.0
ed089xw,5,False,0.0
ed08b0l,1,False,0.0
ed08duc,4,False,0.0
ed08f83,2,False,0.0
ed08ta4,1,False,0.0
ed08vv4,4,False,0.0
ed08z1b,4,False,0.0
ed09ds5,1,False,0.0
ed09n9p,2,False,0.0
ed09rln,5,False,0.0
ed0a04w,4,False,0.0
ed0a0tu,2,False,0.0
ed0a1or,7,False,0.0
ed0a9kb,5,False,0.0
ed0amsn,1,False,0.0
ed0amsx,4,False,0.0
ed0amu9,0,False,0.0
ed0ap0m,0,False,0.0
ed0aq5i,2,False,0.0
ed0aqez,4,False,0.0
ed0awo5,4,False,0.0
ed0b10g,3,False,0.0
ed0b1l2,1,False,0.0
ed0b1u6,0,False,0.0
ed0b2b8,2,False,0.0
ed0b8xo,5,False,0.0
ed0balw,2,False,0.0
ed0bdzj,4,False,0.0
ed0bf06,2,False,0.0
ed0bii7,1,False,0.0
ed0biyb,2,False,0.0
ed0bjkf,2,False,0.0
ed0bn6x,0,False,0.0
ed0bo72,0,False,0.0
ed0booe,3,False,0.0
ed0bppj,1,False,0.0
ed0brlz,4,False,0.0
ed0bx4c,2,False,0.0
ed0c0cd,2,False,0.0
ed0ca9r,1,False,0.0
ed0cf46,1,False,0.0
ed0cg1t,3,False,0.0
ed0cgxe,2,False,0.0
ed0cja3,4,False,0.0
ed0ckbc,4,False,0.0
ed0cmts,3,False,0.0
ed0cn2y,1,False,0.0
ed0cpch,2,False,0.0
ed0cpoa,2,False,0.0
ed0cpps,1,False,0.0
ed0cs4t,3,False,0.0
ed0cuu4,3,False,0.0
ed0cv3s,2,False,0.0
ed0cvlv,5,False,0.0
ed0cvoe,2,False,0.0
ed0cw14,3,False,0.0
ed0cytx,4,False,0.0
ed0czpp,4,False,0.0
ed0d3tp,3,False,0.0
ed0d72m,3,False,0.0
ed0d9mk,2,False,0.0
ed0dbwg,6,False,0.0
ed0dbzg,1,False,0.0
ed0degd,3,False,0.0
ed0dewl,6,False,0.0
ed0dfby,2,False,0.0
ed0dgky,1,False,0.0
ed0dijv,5,False,0.0
ed0dkdp,2,False,0.0
ed0dlqy,3,False,0.0
ed0dn2k,1,False,0.0
ed0doqm,0,False,0.0
ed0dpsv,3,False,0.0
ed0dqec,1,False,0.0
ed0dtnw,1,False,0.0
ed0dw0n,2,False,0.0
ed0dwjr,3,False,0.0
ed0dyfl,4,False,0.0
ed0dzgr,1,False,0.0
ed0e2p5,2,False,0.0
ed0e3a2,2,False,0.0
ed0e575,0,False,0.0
ed0e58j,1,False,0.0
ed0e6h3,2,False,0.0
ed0e796,0,False,0.0
ed0ecs2,1,False,0.0
ed0efs6,4,False,0.0
ed0ehag,2,False,0.0
ed0ejoh,4,False,0.0
ed0eke4,3,False,0.0
ed0en85,2,False,0.0
ed0eowi,2,False,0.0
ed0eowt,2,False,0.0
ed0ep9a,1,False,0.0
ed0eq06,4,False,0.0
ed0eqa1,0,False,0.0
ed0eze5,1,False,0.0
ed0f00l,2,False,0.0
ed0f4by,7,False,0.0
ed0f5fr,3,False,0.0
ed0f7e2,2,False,0.0
ed0fenq,3,False,0.0
ed0ffbv,4,False,0.0
ed0fie4,1,False,0.0
ed0fmm4,3,False,0.0
ed0fo31,2,False,0.0
ed0fo3u,1,False,0.0
ed0fod9,3,False,0.0
ed0fszp,3,False,0.0
ed0ftgl,2,False,0.0
ed0fw6m,3,False,0.0
ed0fyhr,2,False,0.0
ed0g64t,0,False,0.0
ed0g6a1,2,False,0.0
ed0gd0j,0,False,0.0
ed0gkjf,1,False,0.0
ed0glwn,3,False,0.0
ed0gpsw,4,False,0.0
ed0gqt0,1,False,0.0
ed0gs7l,2,False,0.0
ed0guln,0,False,0.0
ed0h1qk,1,False,0.0
ed0h5gk,6,False,0.0
ed0h5it,1,False,0.0
ed0h7ne,1,False,0.0
ed0hfi1,4,False,0.0
ed0hg0n,2,False,0.0
ed0hggu,4,False,0.0
ed0hj7u,2,False,0.0
ed0hkj6,2,False,0.0
ed0hoq2,3,False,0.0
ed0hpru,2,False,0.0
ed0hqrq,2,False,0.0
ed0hr5n,2,False,0.0
ed0ht04,4,False,0.0
ed0htwx,4,False,0.0
ed0hvgr,5,False,0.0
ed0hvin,1,False,0.0
ed0hw7i,3,False,0.0
ed0hx3c,3,False,0.0
ed0hzop,2,False,0.0
ed0i3o5,1,False,0.0
ed0i3y6,1,False,0.0
ed0i4do,2,False,0.0
ed0i4fk,1,False,0.0
ed0i62x,4,False,0.0
ed0i70k,3,False,0.0
ed0i8x6,1,False,0.0
ed0ia9w,3,False,0.0
ed0iads,2,False,0.0
ed0ie0o,0,False,0.0
ed0ielp,1,False,0.0
ed0igr7,2,False,0.0
ed0ij0p,2,False,0.0
ed0ilt4,4,False,0.0
ed0imkl,3,False,0.0
ed0imx9,4,False,0.0
ed0iplf,1,False,0.0
ed0it1e,1,False,0.0
ed0itaf,4,False,0.0
ed0iucb,2,False,0.0
ed0iuo8,2,False,0.0
ed0ivk1,3,False,0.0
ed0j32s,1,False,0.0
ed0j3lf,3,False,0.0
ed0j5h0,1,False,0.0
ed0j85u,2,False,0.0
ed0jaiz,4,False,0.0
ed0jcoe,3,False,0.0
ed0jdzm,1,False,0.0
ed0jekk,4,False,0.0
ed0jeuf,1,False,0.0
ed0jl4d,1,False,0.0
ed0jl4g,4,False,0.0
ed0jnvr,4,False,0.0
ed0joep,3,False,0.0
ed0jr9i,4,False,0.0
ed0jskh,3,False,0.0
ed0jw1x,0,False,0.0
ed0jxov,2,False,0.0
ed0jyim,5,False,0.0
ed0k0sn,5,False,0.0
ed0k1g7,4,False,0.0
ed0k42m,2,False,0.0
ed0k4yt,2,False,0.0
ed0k8mq,2,False,0.0
ed0k8sp,2,False,0.0
ed0kdga,1,False,0.0
ed0kdxn,1,False,0.0
ed0kepy,0,False,0.0
ed0khbn,3,False,0.0
ed0ki7o,1,False,0.0
ed0kklq,0,False,0.0
ed0kn27,0,False,0.0
ed0knk1,1,False,0.0
ed0ktgn,0,False,0.0
ed0kuq0,1,False,0.0
ed0l1xe,3,False,0.0
ed0l622,3,False,0.0
ed0l8vn,2,False,0.0
ed0lc5y,2,False,0.0
ed0lcru,1,False,0.0
ed0ldk7,4,False,0.0
ed0le9a,3,False,0.0
ed0lgce,6,False,0.0
ed0lgd8,6,False,0.0
ed0lluj,0,False,0.0
ed0lnj6,2,False,0.0
ed0lnju,2,False,0.0
ed0lnrd,3,False,0.0
ed0lrm2,2,False,0.0
ed0lysa,2,False,0.0
ed0m2na,1,False,0.0
ed0m3pf,3,False,0.0
ed0m41a,4,False,0.0
ed0m4i1,4,False,0.0
ed0m63w,1,False,0.0
ed0m7w6,5,False,0.0
ed0m9ms,2,False,0.0
ed0mau3,4,False,0.0
ed0mb05,2,False,0.0
ed0mb2r,1,False,0.0
ed0mbz7,2,False,0.0
ed0md4x,1,False,0.0
ed0mfd9,1,False,0.0
ed0mff3,3,False,0.0
ed0mfv8,3,False,0.0
ed0mge2,2,False,0.0
ed0mgel,2,False,0.0
ed0mgjg,1,False,0.0
ed0mh3z,2,False,0.0
ed0miwo,3,False,0.0
ed0mlk8,5,False,0.0
ed0mnay,0,False,0.0
ed0mpiy,3,False,0.0
ed0mrka,3,False,0.0
ed0mvkw,1,False,0.0
ed0mwzs,4,False,0.0
ed0mxlo,2,False,0.0
